document_id,document_name,document_type,source_system,status,region,amount,issue_type,summary,text_length,text,name,company
1,claim_001,claim,claims_system,approved,Berlin,3500.0,insurance_claim,Customer John reported water damage in kitchen due to pipe leakage. Claim...,115,Customer John reported water damage in kitchen due to pipe leakage. Claim approved with estimated cost of 3500 EUR.,John,
2,support_001,support,support_portal,open,Hamburg,0.0,authentication_issue,User Anna unable to reset password using mobile app. Suggested steps include...,120,User Anna unable to reset password using mobile app. Suggested steps include clearing cache and retrying authentication.,Anna,
3,policy_001,policy,policy_system,active,Berlin,0.0,policy_update,Policy update issued for home insurance coverage in Berlin region effective from...,92,Policy update issued for home insurance coverage in Berlin region effective from March 2026.,update,
4,ticket_001,ticket,support_portal,open,Munich,0.0,payment_incident,Support ticket created by Michael for failed payment transaction in e-commerce checkout...,95,Support ticket created by Michael for failed payment transaction in e-commerce checkout system.,ticket,
5,travel_001,travel,claims_system,under_review,Frankfurt,1200.0,travel_reimbursement,Customer Lisa requested reimbursement for delayed baggage during international travel. Case under...,139,Customer Lisa requested reimbursement for delayed baggage during international travel. Case under review with estimated payout of 1200 EUR.,Lisa,
6,tech_001,technical,reporting_system,open,Cologne,0.0,data_quality_issue,Technical issue detected in claims processing workflow causing duplicate entries in reporting...,104,Technical issue detected in claims processing workflow causing duplicate entries in reporting dashboard.,issue,
7,claim_002,claim,claims_system,rejected,Stuttgart,800.0,insurance_claim,Customer David submitted claim for damaged laptop during office relocation. Claim rejected...,146,Customer David submitted claim for damaged laptop during office relocation. Claim rejected due to insufficient evidence. Estimated amount 800 EUR.,David,
8,support_002,support,support_portal,resolved,Berlin,0.0,authentication_issue,User Sarah unable to complete login after password reset. Issue resolved after...,114,User Sarah unable to complete login after password reset. Issue resolved after account unlock and browser restart.,Sarah,
9,policy_002,policy,policy_system,active,Munich,0.0,policy_update,Travel insurance policy revised for baggage delay coverage and emergency hotel reimbursement...,114,Travel insurance policy revised for baggage delay coverage and emergency hotel reimbursement effective April 2026.,insurance,
10,ticket_002,ticket,payment_gateway,open,Berlin,0.0,payment_incident,Incident raised by system for intermittent card payment failure affecting checkout conversion...,114,Incident raised by system for intermittent card payment failure affecting checkout conversion during peak traffic.,raised,
11,travel_002,travel,claims_system,approved,Dusseldorf,2200.0,travel_reimbursement,Customer Robert received travel reimbursement for missed connecting flight and hotel expenses....,126,Customer Robert received travel reimbursement for missed connecting flight and hotel expenses. Final approved amount 2200 EUR.,Robert,
12,tech_002,technical,reporting_system,resolved,Hamburg,0.0,data_quality_issue,Data duplication issue fixed in claims dashboard after correcting workflow mapping and...,107,Data duplication issue fixed in claims dashboard after correcting workflow mapping and deduplication logic.,duplication,
